recommendation_id,client_id,detected_at,recommendation_type,title,target_platform,target_campaign_id,evidence_summary,supporting_benchmark_id,expected_weekly_savings,expected_roas_lift_pct,confidence_score,risk_level,decision_required,status
REC_0000000011,CL_0001,2026-05-03 18:31:14,Budget Shift,Budget Shift: Suppress Email Converters,Meta,MC_00000002,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000269,1506.89,0.0784,0.6216,Medium,human_approval,new
REC_0000000012,CL_0001,2026-05-12 00:47:22,Budget Shift,Budget Shift: Increase Budget,Meta,MC_00000003,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000176,1596.07,0.1354,0.6238,Medium,human_approval,dismissed
REC_0000000013,CL_0001,2026-05-11 20:01:21,Audience Exclusion,Audience Exclusion: Fix Tracking Gap,Meta,MC_00000004,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000182,1102.61,0.1265,0.9147,Low,auto_execute_allowed,dismissed
REC_0000000014,CL_0001,2026-03-29 15:01:17,Budget Shift,Budget Shift: Reduce Budget,Google,GC_00000011,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000158,792.64,0.0290,0.8624,Medium,auto_execute_allowed,approved
REC_0000000015,CL_0001,2026-04-23 07:29:09,Audience Refresh,Audience Refresh: Pause Low ROAS Adset,Google,GC_00000009,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000003,691.66,0.1001,0.7639,Medium,auto_execute_allowed,executed
REC_0000000016,CL_0001,2026-03-13 13:20:42,Benchmark Alert,Benchmark Alert: Suppress Email Converters,Google,GC_00000007,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000177,1230.25,0.1119,0.7713,Low,auto_execute_allowed,dismissed
REC_0000000017,CL_0001,2026-05-09 20:36:23,Audience Exclusion,Audience Exclusion: Increase Budget,Meta,MC_00000001,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000149,1260.31,0.0914,0.8038,Medium,auto_execute_allowed,needs_more_evidence
REC_0000000018,CL_0001,2026-03-12 14:06:41,Tracking Fix,Tracking Fix: Exclude Recent Buyers,Google,GC_00000011,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000011,1169.24,0.1425,0.7120,Low,human_approval,new
REC_0000000019,CL_0001,2026-04-17 12:20:22,Budget Shift,Budget Shift: Increase Budget,Google,GC_00000005,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000056,370.89,0.1283,0.5668,Low,human_approval,executed
REC_0000000020,CL_0001,2026-05-05 20:35:50,Audience Exclusion,Audience Exclusion: Tighten Brand Search Exclusions,Google,GC_00000006,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000135,919.94,0.1110,0.6078,Medium,human_approval,approved
REC_0000000021,CL_0001,2026-04-15 00:08:51,Audience Refresh,Audience Refresh: Create Lookalike from High LTV,Google,GC_00000012,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000098,1803.82,0.1391,0.6529,Medium,human_approval,executed
REC_0000000022,CL_0001,2026-05-03 16:51:11,Budget Shift,Budget Shift: Suppress Email Converters,Google,GC_00000010,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000149,132.26,0.0806,0.8608,Medium,auto_execute_allowed,new
REC_0000000023,CL_0001,2026-05-23 15:29:48,Audience Exclusion,Audience Exclusion: Tighten Brand Search Exclusions,Meta,MC_00000004,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000269,1207.23,0.1199,0.5946,Low,human_approval,new
REC_0000000024,CL_0001,2026-05-29 15:53:40,Audience Refresh,Audience Refresh: Fix Tracking Gap,Google,GC_00000011,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000257,290.08,0.0606,0.7768,Medium,auto_execute_allowed,approved
REC_0000000025,CL_0001,2026-05-25 20:12:02,Budget Shift,Budget Shift: Tighten Brand Search Exclusions,Google,GC_00000005,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000206,443.52,0.1503,0.6176,Low,human_approval,dismissed
REC_0000000026,CL_0001,2026-05-11 03:51:47,Benchmark Alert,Benchmark Alert: Create Lookalike from High LTV,Google,GC_00000007,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000203,262.30,0.1573,0.8317,Low,auto_execute_allowed,dismissed
REC_0000000027,CL_0001,2026-04-25 10:01:34,Budget Shift,Budget Shift: Increase Budget,Meta,MC_00000001,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000235,1845.54,0.0564,0.8818,Low,auto_execute_allowed,executed
REC_0000000028,CL_0001,2026-06-06 07:45:15,Audience Exclusion,Audience Exclusion: Tighten Brand Search Exclusions,Meta,MC_00000003,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000136,315.54,0.0963,0.5758,Low,human_approval,new
REC_0000000029,CL_0002,2026-04-19 10:45:29,Benchmark Alert,Benchmark Alert: Exclude Recent Buyers,Meta,MC_00000018,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000120,2911.91,0.1351,0.6339,High,human_approval,approved
REC_0000000030,CL_0002,2026-06-05 01:50:31,Benchmark Alert,Benchmark Alert: Increase Budget,Meta,MC_00000017,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000050,1865.53,0.0204,0.7302,Medium,auto_execute_allowed,executed
REC_0000000031,CL_0002,2026-05-30 17:12:42,Audience Exclusion,Audience Exclusion: Suppress Email Converters,Google,GC_00000021,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000263,1754.29,0.1543,0.7882,Medium,auto_execute_allowed,executed
REC_0000000032,CL_0002,2026-03-28 09:35:08,Tracking Fix,Tracking Fix: Exclude Recent Buyers,Google,GC_00000024,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000064,2181.96,0.0832,0.6557,Low,human_approval,new
REC_0000000033,CL_0002,2026-05-24 17:10:09,Audience Refresh,Audience Refresh: Fix Tracking Gap,Google,GC_00000028,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000293,3457.01,0.1296,0.8882,High,human_approval,executed
REC_0000000034,CL_0002,2026-05-25 02:33:36,Budget Shift,Budget Shift: Tighten Brand Search Exclusions,Meta,MC_00000017,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000118,2506.99,0.0956,0.6380,High,human_approval,executed
REC_0000000035,CL_0002,2026-04-15 00:07:04,Campaign Pause,Campaign Pause: Reduce Budget,Google,GC_00000028,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000113,5125.29,0.1498,0.6610,Medium,human_approval,needs_more_evidence
REC_0000000036,CL_0002,2026-05-25 16:26:57,Audience Exclusion,Audience Exclusion: Split Retargeting Window,Google,GC_00000026,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000168,2388.96,0.1529,0.5903,Low,human_approval,executed
REC_0000000037,CL_0002,2026-04-19 15:53:59,Audience Exclusion,Audience Exclusion: Pause Low ROAS Adset,Meta,MC_00000015,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000261,2190.47,0.1502,0.7483,Low,auto_execute_allowed,executed
REC_0000000038,CL_0002,2026-05-06 22:51:19,Audience Refresh,Audience Refresh: Exclude Recent Buyers,Meta,MC_00000015,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000122,1042.05,0.1037,0.8430,Low,auto_execute_allowed,new
REC_0000000039,CL_0002,2026-03-16 04:28:55,Tracking Fix,Tracking Fix: Suppress Email Converters,Meta,MC_00000020,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000113,3352.02,0.1461,0.7226,High,human_approval,dismissed
REC_0000000040,CL_0002,2026-05-12 00:07:12,Campaign Pause,Campaign Pause: Reduce Budget,Google,GC_00000022,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000292,5071.52,0.1346,0.9059,High,human_approval,approved
REC_0000000041,CL_0002,2026-04-03 06:13:46,Tracking Fix,Tracking Fix: Split Retargeting Window,Google,GC_00000021,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000177,4509.99,0.0295,0.5470,Low,human_approval,dismissed
REC_0000000042,CL_0002,2026-05-20 15:06:19,Benchmark Alert,Benchmark Alert: Fix Tracking Gap,Meta,MC_00000017,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000205,594.50,0.1468,0.6034,Medium,human_approval,executed
REC_0000000043,CL_0002,2026-03-16 11:43:56,Budget Shift,Budget Shift: Tighten Brand Search Exclusions,Google,GC_00000027,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000014,4809.03,0.0293,0.5698,Low,human_approval,executed
REC_0000000044,CL_0002,2026-05-21 07:21:22,Budget Shift,Budget Shift: Reduce Budget,Meta,MC_00000013,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000110,2844.34,0.0996,0.6067,Low,human_approval,needs_more_evidence
REC_0000000045,CL_0002,2026-04-26 07:00:53,Audience Refresh,Audience Refresh: Tighten Brand Search Exclusions,Meta,MC_00000017,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000079,2055.33,0.0209,0.7481,Low,auto_execute_allowed,dismissed
REC_0000000046,CL_0002,2026-05-24 14:16:17,Campaign Pause,Campaign Pause: Increase Budget,Google,GC_00000023,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000014,2778.43,0.1490,0.6435,Low,human_approval,executed
REC_0000000047,CL_0002,2026-05-06 06:20:25,Audience Exclusion,Audience Exclusion: Fix Tracking Gap,Meta,MC_00000020,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000034,5680.57,0.1482,0.6565,Medium,human_approval,needs_more_evidence
REC_0000000048,CL_0003,2026-03-15 13:28:28,Campaign Pause,Campaign Pause: Suppress Email Converters,Google,GC_00000040,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000128,5725.31,0.0265,0.7976,Low,human_approval,executed
REC_0000000049,CL_0003,2026-06-04 23:39:43,Audience Exclusion,Audience Exclusion: Pause Low ROAS Adset,Google,GC_00000041,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000086,2086.00,0.0359,0.8358,Low,auto_execute_allowed,executed
REC_0000000050,CL_0003,2026-05-15 12:57:14,Budget Shift,Budget Shift: Exclude Recent Buyers,Google,GC_00000040,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000043,5927.39,0.1074,0.9121,Medium,human_approval,needs_more_evidence
REC_0000000051,CL_0003,2026-05-05 14:55:46,Tracking Fix,Tracking Fix: Pause Low ROAS Adset,Meta,MC_00000031,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000144,1592.82,0.1571,0.8527,Low,auto_execute_allowed,executed
REC_0000000052,CL_0003,2026-04-05 23:32:29,Budget Shift,Budget Shift: Tighten Brand Search Exclusions,Meta,MC_00000034,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000299,1843.73,0.1358,0.6276,Medium,human_approval,approved
REC_0000000053,CL_0003,2026-06-07 19:18:45,Tracking Fix,Tracking Fix: Fix Tracking Gap,Meta,MC_00000029,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000105,1923.15,0.0343,0.8695,Medium,auto_execute_allowed,new
REC_0000000054,CL_0003,2026-04-15 00:59:16,Campaign Pause,Campaign Pause: Fix Tracking Gap,Meta,MC_00000035,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000231,1826.10,0.0720,0.7539,Medium,auto_execute_allowed,dismissed
REC_0000000055,CL_0003,2026-04-01 04:25:05,Campaign Pause,Campaign Pause: Suppress Email Converters,Google,GC_00000037,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000136,7220.93,0.0311,0.8701,High,human_approval,executed
REC_0000000056,CL_0003,2026-04-20 15:03:21,Budget Shift,Budget Shift: Refresh Fatigued Audience,Google,GC_00000040,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000065,7492.05,0.1388,0.6143,Medium,human_approval,new
REC_0000000057,CL_0003,2026-04-03 22:17:20,Audience Refresh,Audience Refresh: Reduce Budget,Google,GC_00000038,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000072,323.96,0.0294,0.7405,Low,auto_execute_allowed,needs_more_evidence
REC_0000000058,CL_0003,2026-04-01 02:21:58,Benchmark Alert,Benchmark Alert: Fix Tracking Gap,Google,GC_00000038,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000165,2982.32,0.0322,0.6281,High,human_approval,approved
REC_0000000059,CL_0003,2026-05-14 05:47:59,Tracking Fix,Tracking Fix: Increase Budget,Google,GC_00000039,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000201,7130.55,0.0913,0.6486,Medium,human_approval,executed
REC_0000000060,CL_0004,2026-05-10 15:12:40,Tracking Fix,Tracking Fix: Create Lookalike from High LTV,Google,GC_00000053,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000180,3863.87,0.0660,0.5391,High,human_approval,executed
REC_0000000061,CL_0004,2026-05-23 07:13:49,Campaign Pause,Campaign Pause: Fix Tracking Gap,Meta,MC_00000044,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000281,5993.09,0.0960,0.8819,Low,human_approval,executed
REC_0000000062,CL_0004,2026-04-06 02:07:58,Audience Exclusion,Audience Exclusion: Reduce Budget,Meta,MC_00000044,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000203,1462.93,0.0261,0.5479,Low,human_approval,needs_more_evidence
REC_0000000063,CL_0004,2026-04-14 19:57:21,Campaign Pause,Campaign Pause: Exclude Recent Buyers,Meta,MC_00000043,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000031,4098.75,0.1257,0.5657,Medium,human_approval,approved
REC_0000000064,CL_0004,2026-05-26 05:39:42,Audience Exclusion,Audience Exclusion: Fix Tracking Gap,Google,GC_00000052,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000042,2611.92,0.0489,0.6258,Low,human_approval,executed
REC_0000000065,CL_0004,2026-05-02 16:25:37,Benchmark Alert,Benchmark Alert: Tighten Brand Search Exclusions,Meta,MC_00000048,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000188,3269.53,0.1439,0.5969,High,human_approval,needs_more_evidence
REC_0000000066,CL_0004,2026-04-22 08:00:18,Budget Shift,Budget Shift: Tighten Brand Search Exclusions,Meta,MC_00000047,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000182,5169.31,0.0305,0.7521,Medium,human_approval,new
REC_0000000067,CL_0004,2026-06-03 19:24:02,Audience Exclusion,Audience Exclusion: Split Retargeting Window,Meta,MC_00000044,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000218,921.91,0.0458,0.7516,Low,auto_execute_allowed,needs_more_evidence
REC_0000000068,CL_0004,2026-03-28 04:10:21,Audience Exclusion,Audience Exclusion: Increase Budget,Meta,MC_00000043,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000182,5903.81,0.1258,0.7704,Medium,human_approval,approved
REC_0000000069,CL_0004,2026-05-20 19:14:22,Tracking Fix,Tracking Fix: Exclude Recent Buyers,Meta,MC_00000049,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000184,2362.69,0.1237,0.8495,Medium,auto_execute_allowed,executed
REC_0000000070,CL_0005,2026-05-07 17:34:52,Benchmark Alert,Benchmark Alert: Reduce Budget,Google,GC_00000065,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000009,1436.79,0.1151,0.5991,Medium,human_approval,executed
REC_0000000071,CL_0005,2026-05-18 09:09:18,Budget Shift,Budget Shift: Reduce Budget,Google,GC_00000063,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000168,1581.15,0.1045,0.5625,High,human_approval,new
REC_0000000072,CL_0005,2026-06-03 05:20:51,Benchmark Alert,Benchmark Alert: Split Retargeting Window,Meta,MC_00000062,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000054,629.15,0.0779,0.5686,Low,human_approval,new
REC_0000000073,CL_0005,2026-05-15 11:21:10,Campaign Pause,Campaign Pause: Create Lookalike from High LTV,Meta,MC_00000058,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000074,880.93,0.1411,0.6762,Medium,human_approval,dismissed
REC_0000000074,CL_0005,2026-05-18 22:21:49,Audience Refresh,Audience Refresh: Increase Budget,Meta,MC_00000061,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000143,654.50,0.1477,0.9070,High,human_approval,needs_more_evidence
REC_0000000075,CL_0005,2026-04-21 12:18:53,Budget Shift,Budget Shift: Fix Tracking Gap,Meta,MC_00000060,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000243,440.53,0.0948,0.7342,Low,auto_execute_allowed,dismissed
REC_0000000076,CL_0005,2026-04-05 16:06:49,Audience Exclusion,Audience Exclusion: Reduce Budget,Meta,MC_00000062,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000098,240.96,0.0917,0.8261,Medium,auto_execute_allowed,new
REC_0000000077,CL_0005,2026-05-22 21:19:29,Audience Refresh,Audience Refresh: Reduce Budget,Meta,MC_00000059,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000042,1390.27,0.0572,0.6411,High,human_approval,needs_more_evidence
REC_0000000078,CL_0005,2026-04-16 05:43:41,Audience Exclusion,Audience Exclusion: Split Retargeting Window,Meta,MC_00000060,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000011,228.57,0.0334,0.6973,Medium,human_approval,executed
REC_0000000079,CL_0005,2026-05-29 21:51:34,Audience Refresh,Audience Refresh: Increase Budget,Google,GC_00000066,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000229,134.40,0.1115,0.6527,High,human_approval,executed
REC_0000000080,CL_0005,2026-05-20 07:51:37,Audience Exclusion,Audience Exclusion: Split Retargeting Window,Google,GC_00000064,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000067,1291.74,0.1052,0.6861,Low,human_approval,executed
REC_0000000081,CL_0005,2026-05-12 10:52:48,Campaign Pause,Campaign Pause: Exclude Recent Buyers,Google,GC_00000065,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000010,1461.09,0.0903,0.7324,Medium,auto_execute_allowed,executed
REC_0000000082,CL_0005,2026-03-12 19:34:10,Budget Shift,Budget Shift: Split Retargeting Window,Meta,MC_00000057,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000115,365.55,0.0516,0.5202,High,human_approval,executed
REC_0000000083,CL_0005,2026-04-16 08:02:58,Audience Refresh,Audience Refresh: Tighten Brand Search Exclusions,Google,GC_00000066,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000180,652.71,0.0548,0.9222,Low,auto_execute_allowed,new
REC_0000000084,CL_0005,2026-04-07 13:52:25,Benchmark Alert,Benchmark Alert: Split Retargeting Window,Google,GC_00000065,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000042,268.04,0.0439,0.9348,High,human_approval,needs_more_evidence
REC_0000000085,CL_0005,2026-04-15 21:12:55,Tracking Fix,Tracking Fix: Reduce Budget,Google,GC_00000065,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000180,789.20,0.0729,0.6497,Low,human_approval,executed
REC_0000000086,CL_0005,2026-05-28 14:51:02,Tracking Fix,Tracking Fix: Split Retargeting Window,Meta,MC_00000057,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000226,680.86,0.1415,0.7449,High,human_approval,executed
REC_0000000087,CL_0005,2026-06-03 19:27:12,Benchmark Alert,Benchmark Alert: Suppress Email Converters,Meta,MC_00000056,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000006,934.60,0.0360,0.7243,Low,auto_execute_allowed,new
REC_0000000088,CL_0005,2026-03-26 20:35:13,Benchmark Alert,Benchmark Alert: Split Retargeting Window,Google,GC_00000065,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000052,952.43,0.0384,0.6984,High,human_approval,executed
REC_0000000089,CL_0005,2026-03-14 10:03:40,Tracking Fix,Tracking Fix: Split Retargeting Window,Meta,MC_00000057,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000093,612.67,0.0692,0.5612,High,human_approval,new
REC_0000000090,CL_0005,2026-05-04 19:54:42,Tracking Fix,Tracking Fix: Reduce Budget,Google,GC_00000066,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000284,458.20,0.1561,0.9327,Medium,auto_execute_allowed,executed
REC_0000000091,CL_0005,2026-05-27 00:48:17,Tracking Fix,Tracking Fix: Refresh Fatigued Audience,Meta,MC_00000058,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000031,701.59,0.0713,0.9159,Medium,auto_execute_allowed,executed
REC_0000000092,CL_0005,2026-03-15 13:20:19,Tracking Fix,Tracking Fix: Tighten Brand Search Exclusions,Meta,MC_00000056,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000077,1696.07,0.0859,0.6741,Low,human_approval,new
REC_0000000093,CL_0005,2026-05-29 22:39:15,Tracking Fix,Tracking Fix: Split Retargeting Window,Meta,MC_00000056,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000230,1553.32,0.1241,0.6552,Low,human_approval,approved
REC_0000000094,CL_0006,2026-06-05 03:35:50,Tracking Fix,Tracking Fix: Pause Low ROAS Adset,Meta,MC_00000068,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000219,1922.32,0.0264,0.8210,Low,auto_execute_allowed,new
REC_0000000095,CL_0006,2026-04-27 17:17:49,Tracking Fix,Tracking Fix: Split Retargeting Window,Google,GC_00000079,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000201,1603.60,0.1393,0.6208,Low,human_approval,needs_more_evidence
