optimization_id,client_id,created_at,agent_name,action_type,target_platform,target_campaign_id,reason,expected_impact_pct,confidence_score,risk_level,status,approved_by,actual_impact_pct,rollback_flag,evidence_refs
OPT_0000000024,CL_0001,2026-04-11 06:58:59,Risk Guardrail,Tighten Brand Search Exclusions,Meta,MC_00000002,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0725,0.6803,Medium,Rolled Back,,0.1483,true,"[""sql:ad_performance_daily:7056"", ""rag:benchmark:426""]"
OPT_0000000025,CL_0001,2026-04-12 14:48:16,Pattern Miner,Reduce Budget,Google,GC_00000008,"Reduce Budget triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0905,0.6431,Low,Pending Review,,,false,"[""sql:ad_performance_daily:4079"", ""rag:benchmark:211""]"
OPT_0000000026,CL_0001,2026-04-12 10:50:21,Recommendation Engine,Suppress Email Converters,Google,GC_00000011,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1242,0.8677,Low,Executed,human_ops,0.0513,false,"[""sql:ad_performance_daily:7204"", ""rag:benchmark:396""]"
OPT_0000000027,CL_0001,2026-03-19 23:15:15,Risk Guardrail,Suppress Email Converters,Google,GC_00000012,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0459,0.8636,Low,Executed,,0.0245,false,"[""sql:ad_performance_daily:6476"", ""rag:benchmark:254""]"
OPT_0000000028,CL_0001,2026-04-29 07:09:09,Action Executor,Suppress Email Converters,Google,GC_00000006,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1227,0.6848,High,Rejected,,,false,"[""sql:ad_performance_daily:3080"", ""rag:benchmark:183""]"
OPT_0000000029,CL_0001,2026-04-12 23:39:58,Action Executor,Exclude Recent Buyers,Google,GC_00000010,"Exclude Recent Buyers triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0572,0.8030,Medium,Executed,auto_policy,-0.0126,false,"[""sql:ad_performance_daily:2241"", ""rag:benchmark:382""]"
OPT_0000000030,CL_0001,2026-04-08 14:35:34,Pattern Miner,Fix Tracking Gap,Google,GC_00000009,"Fix Tracking Gap triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1034,0.5736,Low,Executed,auto_policy,0.0437,false,"[""sql:ad_performance_daily:6282"", ""rag:benchmark:410""]"
OPT_0000000031,CL_0001,2026-04-21 05:25:31,Action Executor,Pause Low ROAS Adset,Google,GC_00000008,"Pause Low ROAS Adset triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0519,0.7245,Medium,Approved,,,false,"[""sql:ad_performance_daily:2895"", ""rag:benchmark:24""]"
OPT_0000000032,CL_0001,2026-05-18 19:27:44,Action Executor,Tighten Brand Search Exclusions,Meta,MC_00000001,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1055,0.7008,Medium,Executed,client_admin,0.0288,false,"[""sql:ad_performance_daily:5318"", ""rag:benchmark:275""]"
OPT_0000000033,CL_0001,2026-03-12 16:21:00,Risk Guardrail,Pause Low ROAS Adset,Google,GC_00000008,"Pause Low ROAS Adset triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1165,0.6271,Low,Executed,auto_policy,0.1598,false,"[""sql:ad_performance_daily:4690"", ""rag:benchmark:308""]"
OPT_0000000034,CL_0001,2026-04-14 01:16:55,Risk Guardrail,Create Lookalike from High LTV,Meta,MC_00000001,"Create Lookalike from High LTV triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1491,0.9117,High,Pending Review,,,false,"[""sql:ad_performance_daily:8046"", ""rag:benchmark:208""]"
OPT_0000000035,CL_0001,2026-03-25 05:24:38,Recommendation Engine,Split Retargeting Window,Google,GC_00000012,"Split Retargeting Window triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0502,0.4266,Low,Generated,,,false,"[""sql:ad_performance_daily:6716"", ""rag:benchmark:441""]"
OPT_0000000036,CL_0001,2026-06-01 22:37:55,Recommendation Engine,Tighten Brand Search Exclusions,Google,GC_00000008,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0987,0.5223,Low,Executed,client_admin,0.0918,false,"[""sql:ad_performance_daily:2185"", ""rag:benchmark:464""]"
OPT_0000000037,CL_0001,2026-04-13 21:22:49,Pattern Miner,Tighten Brand Search Exclusions,Google,GC_00000010,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0882,0.4937,Low,Rolled Back,,0.0480,true,"[""sql:ad_performance_daily:4894"", ""rag:benchmark:319""]"
OPT_0000000038,CL_0001,2026-04-24 21:34:15,Pattern Miner,Split Retargeting Window,Google,GC_00000005,"Split Retargeting Window triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0826,0.5694,Medium,Executed,,0.0428,false,"[""sql:ad_performance_daily:4136"", ""rag:benchmark:173""]"
OPT_0000000039,CL_0001,2026-05-01 16:09:12,Recommendation Engine,Tighten Brand Search Exclusions,Google,GC_00000007,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0463,0.7042,Medium,Rolled Back,,0.0929,true,"[""sql:ad_performance_daily:4085"", ""rag:benchmark:337""]"
OPT_0000000040,CL_0001,2026-03-31 12:46:35,Action Executor,Fix Tracking Gap,Google,GC_00000011,"Fix Tracking Gap triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0968,0.6221,Medium,Executed,client_admin,0.0851,false,"[""sql:ad_performance_daily:4495"", ""rag:benchmark:326""]"
OPT_0000000041,CL_0001,2026-03-20 22:43:42,Recommendation Engine,Pause Low ROAS Adset,Google,GC_00000006,"Pause Low ROAS Adset triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0570,0.9645,Low,Executed,human_ops,0.0181,false,"[""sql:ad_performance_daily:7877"", ""rag:benchmark:367""]"
OPT_0000000042,CL_0001,2026-05-28 15:11:37,Pattern Miner,Fix Tracking Gap,Meta,MC_00000001,"Fix Tracking Gap triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0676,0.7138,Medium,Generated,,,false,"[""sql:ad_performance_daily:3382"", ""rag:benchmark:173""]"
OPT_0000000043,CL_0001,2026-04-08 20:48:32,Action Executor,Exclude Recent Buyers,Google,GC_00000008,"Exclude Recent Buyers triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0484,0.7300,Low,Executed,client_admin,0.0499,false,"[""sql:ad_performance_daily:7338"", ""rag:benchmark:415""]"
OPT_0000000044,CL_0001,2026-04-22 19:34:33,Action Executor,Increase Budget,Google,GC_00000011,"Increase Budget triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0581,0.4370,Low,Pending Review,,,false,"[""sql:ad_performance_daily:7160"", ""rag:benchmark:102""]"
OPT_0000000045,CL_0001,2026-05-06 20:09:31,Action Executor,Exclude Recent Buyers,Google,GC_00000005,"Exclude Recent Buyers triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0652,0.6812,Medium,Approved,human_ops,,false,"[""sql:ad_performance_daily:3721"", ""rag:benchmark:355""]"
OPT_0000000046,CL_0001,2026-04-29 03:04:39,Action Executor,Create Lookalike from High LTV,Google,GC_00000009,"Create Lookalike from High LTV triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0809,0.5219,High,Rolled Back,,0.0754,true,"[""sql:ad_performance_daily:6537"", ""rag:benchmark:386""]"
OPT_0000000047,CL_0001,2026-05-30 00:25:10,Recommendation Engine,Fix Tracking Gap,Google,GC_00000008,"Fix Tracking Gap triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1309,0.6872,Low,Rejected,,,false,"[""sql:ad_performance_daily:5178"", ""rag:benchmark:33""]"
OPT_0000000048,CL_0001,2026-04-25 22:25:00,Pattern Miner,Pause Low ROAS Adset,Google,GC_00000006,"Pause Low ROAS Adset triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0416,0.7962,Medium,Executed,auto_policy,0.0770,false,"[""sql:ad_performance_daily:3133"", ""rag:benchmark:79""]"
OPT_0000000049,CL_0001,2026-05-09 13:42:19,Action Executor,Exclude Recent Buyers,Google,GC_00000010,"Exclude Recent Buyers triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1695,0.6531,Low,Approved,,,false,"[""sql:ad_performance_daily:1376"", ""rag:benchmark:389""]"
OPT_0000000050,CL_0001,2026-05-15 03:50:18,Data Scout,Reduce Budget,Meta,MC_00000004,"Reduce Budget triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1291,0.4971,High,Executed,human_ops,0.2027,false,"[""sql:ad_performance_daily:6584"", ""rag:benchmark:15""]"
OPT_0000000051,CL_0001,2026-06-04 20:00:11,Recommendation Engine,Refresh Fatigued Audience,Google,GC_00000010,"Refresh Fatigued Audience triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1694,0.6594,Low,Rejected,,,false,"[""sql:ad_performance_daily:4739"", ""rag:benchmark:21""]"
OPT_0000000052,CL_0001,2026-05-11 19:29:42,Action Executor,Create Lookalike from High LTV,Google,GC_00000007,"Create Lookalike from High LTV triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0340,0.7048,High,Executed,client_admin,0.0495,false,"[""sql:ad_performance_daily:5476"", ""rag:benchmark:286""]"
OPT_0000000053,CL_0001,2026-03-30 11:31:59,Data Scout,Fix Tracking Gap,Google,GC_00000007,"Fix Tracking Gap triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0841,0.7716,Low,Executed,,0.1354,false,"[""sql:ad_performance_daily:698"", ""rag:benchmark:224""]"
OPT_0000000054,CL_0001,2026-06-02 18:19:39,Pattern Miner,Reduce Budget,Google,GC_00000009,"Reduce Budget triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0607,0.7577,Medium,Generated,,,false,"[""sql:ad_performance_daily:7117"", ""rag:benchmark:224""]"
OPT_0000000055,CL_0001,2026-05-29 01:27:31,Risk Guardrail,Pause Low ROAS Adset,Google,GC_00000011,"Pause Low ROAS Adset triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1014,0.8605,Medium,Executed,human_ops,0.1033,false,"[""sql:ad_performance_daily:7418"", ""rag:benchmark:336""]"
OPT_0000000056,CL_0001,2026-05-09 23:06:18,Data Scout,Suppress Email Converters,Meta,MC_00000003,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0386,0.4965,High,Approved,human_ops,,false,"[""sql:ad_performance_daily:4610"", ""rag:benchmark:258""]"
OPT_0000000057,CL_0001,2026-05-12 17:36:03,Action Executor,Pause Low ROAS Adset,Meta,MC_00000001,"Pause Low ROAS Adset triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1110,0.6247,Low,Approved,auto_policy,,false,"[""sql:ad_performance_daily:5479"", ""rag:benchmark:217""]"
OPT_0000000058,CL_0002,2026-05-21 15:33:28,Risk Guardrail,Tighten Brand Search Exclusions,Google,GC_00000028,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1690,0.7239,Medium,Executed,,0.0931,false,"[""sql:ad_performance_daily:1690"", ""rag:benchmark:83""]"
OPT_0000000059,CL_0002,2026-04-19 07:16:28,Data Scout,Create Lookalike from High LTV,Meta,MC_00000016,"Create Lookalike from High LTV triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0836,0.6751,Low,Pending Review,,,false,"[""sql:ad_performance_daily:2557"", ""rag:benchmark:318""]"
OPT_0000000060,CL_0002,2026-03-22 19:17:56,Risk Guardrail,Suppress Email Converters,Meta,MC_00000020,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0304,0.7843,High,Pending Review,,,false,"[""sql:ad_performance_daily:3900"", ""rag:benchmark:198""]"
OPT_0000000061,CL_0002,2026-04-22 03:08:05,Action Executor,Suppress Email Converters,Google,GC_00000028,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0417,0.4986,High,Executed,,0.0838,false,"[""sql:ad_performance_daily:2905"", ""rag:benchmark:256""]"
OPT_0000000062,CL_0002,2026-04-14 09:15:51,Recommendation Engine,Refresh Fatigued Audience,Google,GC_00000024,"Refresh Fatigued Audience triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1583,0.9700,Medium,Pending Review,,,false,"[""sql:ad_performance_daily:1957"", ""rag:benchmark:350""]"
OPT_0000000063,CL_0002,2026-03-26 06:41:33,Action Executor,Suppress Email Converters,Meta,MC_00000013,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1722,0.5498,Medium,Executed,,0.2207,false,"[""sql:ad_performance_daily:3817"", ""rag:benchmark:89""]"
OPT_0000000064,CL_0002,2026-05-27 19:04:53,Data Scout,Refresh Fatigued Audience,Google,GC_00000021,"Refresh Fatigued Audience triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1182,0.8569,Low,Rolled Back,,0.0926,true,"[""sql:ad_performance_daily:583"", ""rag:benchmark:362""]"
OPT_0000000065,CL_0002,2026-04-27 12:09:36,Risk Guardrail,Create Lookalike from High LTV,Google,GC_00000022,"Create Lookalike from High LTV triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0611,0.5635,Medium,Executed,,0.0170,false,"[""sql:ad_performance_daily:143"", ""rag:benchmark:447""]"
OPT_0000000066,CL_0002,2026-03-19 23:26:38,Risk Guardrail,Tighten Brand Search Exclusions,Google,GC_00000022,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0535,0.8242,Medium,Approved,auto_policy,,false,"[""sql:ad_performance_daily:5730"", ""rag:benchmark:153""]"
OPT_0000000067,CL_0002,2026-04-25 17:22:10,Risk Guardrail,Fix Tracking Gap,Google,GC_00000028,"Fix Tracking Gap triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1510,0.7953,Low,Rolled Back,,0.1429,true,"[""sql:ad_performance_daily:1659"", ""rag:benchmark:179""]"
OPT_0000000068,CL_0002,2026-05-29 01:13:06,Recommendation Engine,Increase Budget,Google,GC_00000028,"Increase Budget triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0848,0.5530,High,Approved,auto_policy,,false,"[""sql:ad_performance_daily:5442"", ""rag:benchmark:230""]"
OPT_0000000069,CL_0002,2026-03-27 08:56:58,Pattern Miner,Refresh Fatigued Audience,Google,GC_00000022,"Refresh Fatigued Audience triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1782,0.8322,Medium,Executed,auto_policy,0.1598,false,"[""sql:ad_performance_daily:622"", ""rag:benchmark:201""]"
OPT_0000000070,CL_0002,2026-04-19 14:36:25,Pattern Miner,Split Retargeting Window,Meta,MC_00000013,"Split Retargeting Window triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1198,0.8137,Low,Rolled Back,,0.0693,true,"[""sql:ad_performance_daily:4076"", ""rag:benchmark:257""]"
OPT_0000000071,CL_0002,2026-05-14 03:40:04,Action Executor,Tighten Brand Search Exclusions,Google,GC_00000024,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1583,0.8158,Low,Executed,client_admin,0.1128,false,"[""sql:ad_performance_daily:185"", ""rag:benchmark:109""]"
OPT_0000000072,CL_0002,2026-05-26 15:33:49,Recommendation Engine,Suppress Email Converters,Meta,MC_00000014,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0704,0.5399,Low,Pending Review,,,false,"[""sql:ad_performance_daily:555"", ""rag:benchmark:13""]"
OPT_0000000073,CL_0002,2026-05-31 00:15:08,Pattern Miner,Create Lookalike from High LTV,Google,GC_00000028,"Create Lookalike from High LTV triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1286,0.6027,Low,Executed,human_ops,0.0942,false,"[""sql:ad_performance_daily:9771"", ""rag:benchmark:423""]"
OPT_0000000074,CL_0002,2026-05-14 17:56:45,Pattern Miner,Split Retargeting Window,Google,GC_00000023,"Split Retargeting Window triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1640,0.6917,Low,Executed,client_admin,0.2258,false,"[""sql:ad_performance_daily:3783"", ""rag:benchmark:320""]"
OPT_0000000075,CL_0002,2026-05-15 07:12:07,Risk Guardrail,Refresh Fatigued Audience,Meta,MC_00000013,"Refresh Fatigued Audience triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0503,0.7577,High,Executed,auto_policy,0.0035,false,"[""sql:ad_performance_daily:659"", ""rag:benchmark:392""]"
OPT_0000000076,CL_0002,2026-04-20 03:26:16,Recommendation Engine,Reduce Budget,Meta,MC_00000017,"Reduce Budget triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1677,0.6337,Medium,Executed,auto_policy,0.1809,false,"[""sql:ad_performance_daily:9541"", ""rag:benchmark:483""]"
OPT_0000000077,CL_0002,2026-04-11 22:02:16,Data Scout,Refresh Fatigued Audience,Google,GC_00000027,"Refresh Fatigued Audience triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0309,0.6052,Low,Executed,human_ops,-0.0143,false,"[""sql:ad_performance_daily:1080"", ""rag:benchmark:439""]"
OPT_0000000078,CL_0002,2026-06-02 04:00:40,Recommendation Engine,Exclude Recent Buyers,Google,GC_00000024,"Exclude Recent Buyers triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1097,0.6039,Medium,Executed,human_ops,0.1548,false,"[""sql:ad_performance_daily:1366"", ""rag:benchmark:72""]"
OPT_0000000079,CL_0002,2026-04-03 05:32:36,Recommendation Engine,Split Retargeting Window,Google,GC_00000026,"Split Retargeting Window triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1664,0.5197,Medium,Executed,client_admin,0.1326,false,"[""sql:ad_performance_daily:7551"", ""rag:benchmark:123""]"
OPT_0000000080,CL_0002,2026-04-29 10:23:48,Risk Guardrail,Fix Tracking Gap,Meta,MC_00000019,"Fix Tracking Gap triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0559,0.7147,Medium,Approved,client_admin,,false,"[""sql:ad_performance_daily:9696"", ""rag:benchmark:12""]"
OPT_0000000081,CL_0002,2026-03-12 01:40:02,Risk Guardrail,Increase Budget,Meta,MC_00000017,"Increase Budget triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1081,0.6754,Medium,Approved,client_admin,,false,"[""sql:ad_performance_daily:7983"", ""rag:benchmark:182""]"
OPT_0000000082,CL_0002,2026-04-15 18:48:15,Pattern Miner,Suppress Email Converters,Meta,MC_00000020,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1707,0.5940,Low,Approved,client_admin,,false,"[""sql:ad_performance_daily:1950"", ""rag:benchmark:94""]"
OPT_0000000083,CL_0002,2026-05-14 09:04:58,Data Scout,Split Retargeting Window,Google,GC_00000025,"Split Retargeting Window triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0564,0.7254,Low,Pending Review,,,false,"[""sql:ad_performance_daily:8126"", ""rag:benchmark:164""]"
OPT_0000000084,CL_0002,2026-05-04 19:03:18,Action Executor,Refresh Fatigued Audience,Google,GC_00000023,"Refresh Fatigued Audience triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1686,0.9000,Low,Pending Review,,,false,"[""sql:ad_performance_daily:4006"", ""rag:benchmark:444""]"
OPT_0000000085,CL_0002,2026-06-05 14:54:52,Recommendation Engine,Tighten Brand Search Exclusions,Meta,MC_00000013,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1730,0.7553,Low,Executed,human_ops,0.2310,false,"[""sql:ad_performance_daily:3185"", ""rag:benchmark:96""]"
OPT_0000000086,CL_0002,2026-04-06 21:27:03,Pattern Miner,Suppress Email Converters,Google,GC_00000024,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0536,0.6699,Low,Generated,,,false,"[""sql:ad_performance_daily:614"", ""rag:benchmark:31""]"
OPT_0000000087,CL_0002,2026-05-10 01:45:02,Action Executor,Tighten Brand Search Exclusions,Meta,MC_00000016,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0898,0.5375,Medium,Executed,auto_policy,0.0838,false,"[""sql:ad_performance_daily:2758"", ""rag:benchmark:336""]"
OPT_0000000088,CL_0002,2026-04-22 18:31:10,Data Scout,Split Retargeting Window,Meta,MC_00000019,"Split Retargeting Window triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1401,0.7236,Medium,Executed,auto_policy,0.0847,false,"[""sql:ad_performance_daily:9015"", ""rag:benchmark:318""]"
